PK_CLIENTE,NOME_CLIENTE,EMAIL_CLIENTE,TIPO_CLIENTE,CPFCNPJ_CLIENTE,TS_INCLUSAO,DATA_NASCIMENTO_CLEINTE,ENDERECO_CLIENTE,CEP_CLIENTE,UF_CLIENTE
28,Helena Oliveira,arthurmoreira@example.net,PF,23576809465,2016-07-05T12:33:00.000Z,1980-09-15,"Pátio Cardoso, 873
Santa Lúcia
32716644 Moraes Alegre / AP",07043-666,AP
29,Sophie Nogueira,rezendethales@example.net,PF,45036917243,2019-12-21T12:19:00.000Z,1980-05-05,"Campo da Mota, 9
Pongelupe
50562462 Nunes / MA",22270808,MA
30,Maria Sophia Nogueira,ryancardoso@example.org,PF,43925678182,2021-07-09T15:22:00.000Z,2008-06-18,"Sítio Henrique Azevedo, 128
Luxemburgo
13793-782 Cunha do Amparo / SP",81850116,SP
31,Lara Moraes,ymelo@example.net,PF,12509764306,2016-10-11T14:18:00.000Z,1946-06-04,"Parque Calebe da Cunha, 71
Barão Homem De Melo 2ª Seção
59944-976 Araújo / PB",36151-105,PB
32,Augusto da Luz,ualves@example.com,PF,79160438584,2019-02-07T14:43:00.000Z,1985-09-04,"Loteamento Moraes, 8
Andiroba
84006528 da Cruz / CE",39507603,CE
33,Lucca Gomes,joaquim35@example.org,PF,67541309206,2019-12-20T11:06:00.000Z,1988-03-17,"Alameda Martins, 100
Vila São João Batista
99226066 Farias Grande / MS",86126951,MS
34,Ana Julia Pinto,brendanascimento@example.org,PF,37640289122,2014-12-05T10:20:00.000Z,1978-10-23,"Área Larissa Martins, 91
Santo Agostinho
26066617 da Cruz de da Cunha / MT",62948-155,MT
35,Gustavo Henrique Moraes,wsilveira@example.org,PF,42583067117,2018-09-05T15:28:00.000Z,1945-10-28,"Favela Ryan Cunha, 61
Conjunto Jatoba
69671168 da Cunha / BA",23082759,BA
36,Nina Gomes,maria-luiza16@example.com,PF,58947132691,2020-01-13T11:55:00.000Z,1958-10-20,"Recanto Daniela Lima, 26
Vila Jardim Alvorada
20998139 Fogaça / RR",61001575,RR
37,Enrico Porto,isis47@example.org,PF,89164702340,2012-05-14T15:35:00.000Z,2000-09-02,"Favela de Pires, 14
Túnel De Ibirité
62790619 Melo de Goiás / PE",07914-878,PE
38,Lívia Novaes,lferreira@example.org,PF,24930561752,2021-07-14T16:12:00.000Z,1979-09-15,"Condomínio Gonçalves, 25
Cinquentenário
29830068 Cavalcanti de Ribeiro / PI",51033-744,PI
39,Levi Alves,gmoraes@example.com,PF,46352710999,2015-01-02T12:28:00.000Z,2004-05-22,"Lago Vitor Costela, 7
Maria Helena
35564-564 Rocha / MA",72532573,MA
40,Enzo Gabriel Nogueira,grezende@example.com,PF,93642817050,2020-06-15T15:51:00.000Z,1949-07-12,"Praça Barros, 206
Havaí
52125030 Nascimento / PI",21993173,PI
41,Alexandre Silveira,icampos@example.org,PF,36890714539,2020-07-13T11:18:00.000Z,1983-08-01,"Morro de Moura
Padre Eustáquio
72981-411 Araújo Grande / RN",63953688,RN
42,Erick Cavalcanti,gcosta@example.com,PF,78513290602,2021-08-11T10:40:00.000Z,1996-11-11,"Morro Rocha, 80
Vila Nova Paraíso
86736347 da Conceição de Dias / PB",57928-134,PB
43,Elisa Costa,da-costarodrigo@example.org,PF,92735164080,2016-03-27T14:33:00.000Z,1954-06-12,"Viela Eloah da Mota, 92
Alto Barroca
29793-970 Rodrigues / RN",83000-237,RN
44,Maria Eduarda das Neves,silveiraana-carolina@example.net,PF,45781623973,2020-08-05T16:13:00.000Z,1990-03-13,"Largo de Rezende, 3
Estrela
26783500 da Rocha de Minas / PA",83028-746,PA
45,Fernanda Teixeira,cardosokamilly@example.net,PF,03642597874,2015-11-14T12:14:00.000Z,1993-06-08,"Trecho Silva, 82
Guarani
97436685 Ferreira / AP",25997187,AP
46,Ana Júlia Lopes,haraujo@example.com,PF,29075316461,2019-02-10T11:06:00.000Z,1960-09-22,"Núcleo Laura da Mota, 680
São Benedito
27045251 Campos Paulista / RJ",81927083,RJ
47,Ryan Castro,joao-gabrieldias@example.com,PF,75298610340,2011-12-22T16:48:00.000Z,1997-05-23,"Viaduto de Almeida, 6
João Alfredo
01904-124 Silva / PI",71688-611,PI
48,Julia Rezende,joao-felipe43@example.net,PF,40867259167,2022-11-11T10:14:00.000Z,1964-02-27,"Feira de Silveira
Colégio Batista
90664-934 Teixeira do Amparo / PB",65280376,PB
49,Benício Duarte,limaeduardo@example.org,PF,70543819205,2021-05-09T11:35:00.000Z,1961-01-04,"Avenida de da Cunha, 453
Conjunto Bonsucesso
42284802 Peixoto / RR",38292384,RR
50,Yasmin Aragão,dda-paz@example.com,PF,86374590210,2020-02-13T15:48:00.000Z,1999-03-09,"Aeroporto Farias, 57
Nova Cintra
64129-330 Silva / SE",73729840,SE
51,Júlia da Conceição,maria-cecilia55@example.com,PF,42035169860,2013-05-05T13:36:00.000Z,1963-02-24,"Vila Rafael Monteiro, 766
Vila Maloca
93363-482 Silveira / SP",54647-803,SP
52,Luiz Gustavo Ramos,aragaojoao@example.net,PF,40319627543,2019-08-10T13:13:00.000Z,1944-02-21,"Esplanada de Lima
Estoril
67551961 da Luz / AC",53635-227,AC
53,Marcela da Costa,adias@example.org,PF,90248371541,2022-10-17T12:53:00.000Z,1989-12-29,"Viaduto Rafaela Freitas, 67
Indaiá
72184869 Peixoto de da Cruz / RN",21912-741,RN
54,Maria Luiza Pereira,marcos-vinicius15@example.net,PF,10847956202,2015-01-09T10:37:00.000Z,1994-07-04,"Vereda Guilherme Cardoso
Vila Maria
93036-009 Costela da Prata / SC",66807-828,SC
55,Fernando da Rocha,daviribeiro@example.com,PF,36085749139,2021-08-18T13:57:00.000Z,1953-08-07,"Conjunto de Correia, 60
Anchieta
59115347 Rodrigues do Amparo / PI",15766878,PI
56,Ana Clara Silveira,das-nevesgustavo-henrique@example.net,PF,85201964389,2020-10-03T11:35:00.000Z,1986-09-25,"Morro Maria Cecília Rocha, 69
Vila Piratininga
85380-655 Farias / RJ",71569380,RJ
57,Elisa Santos,barbosaisabel@example.com,PF,52983740692,2013-03-13T16:09:00.000Z,1986-02-02,"Morro de da Cruz, 8
São Gabriel
64973079 Pires / MT",69286-635,MT
58,Vitor Hugo Gonçalves,kevinfernandes@example.org,PF,57342618071,2014-04-19T14:35:00.000Z,1952-11-29,"Setor Correia, 47
Vila Madre Gertrudes 3ª Seção
95931873 Nogueira Paulista / PE",56500339,PE
59,Igor Ramos,fernandesclara@example.com,PF,65907824158,2019-07-09T15:40:00.000Z,1983-07-14,"Pátio de Rocha, 23
Vila Novo São Lucas
18098591 Aragão / AL",41962998,AL
60,João Vitor Freitas,ian29@example.org,PF,34762150916,2018-06-03T12:04:00.000Z,1952-06-02,"Trecho Aragão, 88
Vila Inestan
41949302 Almeida / PA",27808532,PA
61,Ana Vitória Lopes,pdias@example.net,PF,31592740804,2013-01-20T10:35:00.000Z,1979-06-18,"Condomínio Julia Castro, 327
Novo Aarão Reis
83214-756 Monteiro / TO",68289-204,TO
62,Laura Pires,dda-rocha@example.org,PF,19604387278,2018-05-25T13:11:00.000Z,1958-09-14,"Pátio Daniel Vieira, 48
Esperança
13182-938 Novaes Paulista / RO",90553-037,RO
63,Leandro Silveira,andreda-conceicao@example.org,PF,14832507680,2013-10-06T12:24:00.000Z,1997-04-15,"Via de Carvalho, 72
Centro
07428521 Lopes de Minas / MS",34866602,MS
64,Ana Laura Cardoso,lorena28@example.org,PF,75241638008,2022-04-01T13:42:00.000Z,1951-02-23,"Setor Ana Carolina da Luz, 5
Vila Real 1ª Seção
91511-738 Araújo / RR",74948623,RR
65,Letícia Costa,ceciliafarias@example.org,PF,92864510758,2021-05-14T13:46:00.000Z,1961-09-20,"Travessa Stella Ferreira, 260
Comiteco
05546-604 da Rosa / SP",92383750,SP
66,Sarah Fernandes,jsilveira@example.org,PF,98612035759,2018-10-21T15:50:00.000Z,1958-12-15,"Chácara Vicente da Conceição, 70
Vila Copasa
04896-799 da Cruz / TO",41643774,TO
67,Eduarda Nunes,larasales@example.com,PF,20396841589,2020-11-04T13:44:00.000Z,1964-07-11,"Conjunto Luna Costa, 85
Paquetá
56665911 Costela de Castro / AC",73616-049,AC
68,Joaquim Jesus,emanuella18@example.net,PF,02978536438,2021-12-04T15:13:00.000Z,1967-11-25,"Esplanada de Porto, 20
Acaiaca
53481841 Viana / RN",03127-227,RN
69,Luiz Henrique da Cunha,jaraujo@example.com,PF,19405387260,2019-11-04T14:01:00.000Z,1958-06-23,"Vereda Anthony Peixoto, 634
Santo André
77454-223 Martins de Aragão / MS",94301-782,MS
70,João Vitor Nogueira,gabrielly20@example.com,PF,79501486320,2017-08-27T10:39:00.000Z,2008-01-15,"Vila de Vieira, 59
Dona Clara
60875039 Peixoto dos Dourados / RR",10156-663,RR
71,Miguel Rodrigues,avieira@example.net,PF,47235698128,2021-09-19T13:55:00.000Z,1974-02-01,"Trecho Lívia da Cunha, 70
Ouro Minas
41353-609 da Costa da Serra / TO",11290-320,TO
72,Manuela Silveira,lpinto@example.com,PF,48013672590,2022-08-08T10:10:00.000Z,1974-05-05,"Lagoa Yuri Azevedo, 845
Bernadete
43748361 Barbosa do Norte / SE",50440009,SE
73,Bryan da Costa,brendacardoso@example.net,PF,82105643906,2022-08-08T14:01:00.000Z,2004-04-18,"Recanto Porto
Santa Maria
81256821 Vieira / ES",65858986,ES
74,Paulo Duarte,da-costakamilly@example.com,PF,54982063729,2018-05-20T16:34:00.000Z,1960-04-24,"Estação Correia, 37
Itapoa
20255-318 da Conceição de Fernandes / MT",19356146,MT
75,Giovanna Moraes,melolucas-gabriel@example.com,PF,68491207511,2011-11-12T11:47:00.000Z,1990-07-13,"Aeroporto Sophie Fogaça, 52
Mariquinhas
27399916 Barbosa Paulista / AC",92526398,AC
76,João Vitor Azevedo,ana-vitoriaviana@example.net,PF,95820731441,2014-07-25T10:23:00.000Z,1974-10-01,"Vereda de Nogueira, 803
Nova Cintra
22667-341 Almeida / MA",12426486,MA
77,Pedro Teixeira,drodrigues@example.org,PF,54892301779,2017-09-20T14:37:00.000Z,1970-12-24,"Alameda Peixoto, 114
Ambrosina
68587-878 da Mata de Araújo / RN",34613-129,RN
78,Ana Vitória Costela,clopes@example.net,PF,74925810332,2022-08-22T13:53:00.000Z,2003-07-06,"Via de Castro, 92
Colégio Batista
15300771 Cunha / RS",92941-452,RS
79,Bianca Moura,meloemanuel@example.org,PF,14872905601,2014-01-18T16:06:00.000Z,1969-11-17,"Ladeira Carolina Pinto
Vila Fumec
62636-341 Rezende / MT",47532-725,MT
80,Leonardo Sales,diogoteixeira@example.net,PF,52198764067,2017-12-10T12:35:00.000Z,1950-11-12,"Lagoa Raul Almeida, 34
Conjunto Minas Caixa
73184106 Novaes / PB",22012-169,PB
81,Diogo Gomes,castroleandro@example.net,PF,62758914328,2020-01-03T15:31:00.000Z,1960-07-07,"Chácara de da Rosa, 257
Lindéia
47025-273 Campos / BA",61531-523,BA
82,Lucas Vieira,maria-alice75@example.net,PF,78462013950,2022-02-23T11:47:00.000Z,1976-02-02,"Estação Enzo Gabriel Barros, 98
Serra Do Curral
65953-572 Rocha / SE",01802105,SE
83,Pedro Henrique da Mota,barrossabrina@example.org,PF,56931802470,2021-12-10T11:01:00.000Z,1980-07-16,"Pátio da Costa, 31
Funcionários
44758-675 Silveira da Mata / PB",65640-374,PB
84,Alexia Pereira,joao-gabrielrocha@example.org,PF,23169475061,2019-11-02T14:01:00.000Z,1986-07-19,"Praça da Mata, 1
São Bernardo
11922935 Castro do Campo / MG",25983-939,MG
85,Isabel Pires,diogo26@example.org,PF,32857640153,2020-11-26T15:11:00.000Z,2007-09-20,"Chácara Novaes, 1
Corumbiara
63569-151 Sales de Jesus / ES",05521-847,ES
86,André da Cruz,ninamendes@example.net,PF,16432087996,2021-08-05T13:57:00.000Z,1996-04-11,"Loteamento Noah da Costa, 17
Ventosa
26042-921 Silva dos Dourados / TO",65285921,TO
87,Diego Farias,da-pazbarbara@example.net,PF,30627541844,2020-12-01T12:38:00.000Z,1963-10-22,"Recanto Alves, 696
Ermelinda
42243-156 Jesus / SE",92601-266,SE
88,Davi Lucca Cardoso,esthercampos@example.org,PF,78169504201,2018-09-13T11:19:00.000Z,1957-06-15,"Alameda Barros, 832
Vila Rica
84991258 Melo / RS",83940-965,RS
89,Danilo Melo,sofia51@example.com,PF,50869437100,2022-10-11T12:05:00.000Z,1958-09-24,"Lago André da Luz, 278
Vila Da Amizade
01266923 Araújo / AL",64260-568,AL
90,João Silva,juliana30@example.com,PF,03587149232,2014-11-04T15:50:00.000Z,1956-07-23,"Loteamento Nicole Lima, 72
Itapoa
61972636 Costela da Prata / RS",95098-338,RS
91,Alana Rodrigues,isabellacardoso@example.net,PF,24097186396,2020-01-08T14:43:00.000Z,1960-03-22,"Rodovia da Rosa, 59
Vila São Rafael
03943-514 Moura de Gonçalves / AL",15435-333,AL
92,João Miguel Nascimento,teixeiraluiz-fernando@example.net,PF,56049732892,2022-03-05T12:36:00.000Z,1960-01-24,"Chácara Emanuel Santos, 68
Conjunto São Francisco De Assis
14427438 Cardoso / PR",56451275,PR
93,Clarice Costela,ramosalana@example.com,PF,94712035897,2020-05-06T11:19:00.000Z,1973-09-09,"Passarela Dias
Jardim Felicidade
69480906 Souza da Praia / ES",21189245,ES
94,Carolina Silva,ana-juliada-costa@example.net,PF,25968074329,2020-09-08T11:16:00.000Z,1976-12-04,"Sítio de Cavalcanti
Vila Paraíso
89745-913 Nunes / GO",39541-720,GO
95,Maria Clara Castro,wfreitas@example.com,PF,05871246362,2021-11-10T10:58:00.000Z,1956-08-23,"Setor de Lima, 19
São Paulo
50621208 da Paz da Praia / ES",36540174,ES
96,Lorena Nascimento,igorporto@example.org,PF,02978614331,2021-08-25T11:56:00.000Z,1960-02-26,"Setor de Lopes, 99
Padre Eustáquio
32331210 Pinto / PB",60985-832,PB
97,Larissa Jesus,maria-eduarda69@example.net,PF,73624901516,2017-04-07T14:25:00.000Z,2006-02-23,"Colônia Joana Lima, 71
Santa Monica
01591-839 Aragão / AC",71807-348,AC
98,Otávio Ferreira,pietranunes@example.net,PF,74508926185,2015-05-17T15:33:00.000Z,1988-08-19,"Jardim Samuel Freitas, 932
Penha
47112-804 Melo da Praia / AL",52470-884,AL
99,Pedro Miguel Fogaça,davi-lucas50@example.com,PF,25489301732,2021-05-11T14:41:00.000Z,1959-06-01,"Avenida de Nascimento
Paraíso
90500-743 Rezende / AM",80412-004,AM
100,Ana Carolina Souza,daniel57@example.net,PF,53094182704,2020-06-15T13:28:00.000Z,1987-08-24,"Rua da Paz, 9
Garças
85239787 da Mata dos Dourados / GO",05454360,GO
101,Cauã Castro,juliamelo@example.net,PF,08241956711,2019-01-06T15:36:00.000Z,1970-01-15,"Morro Stella Aragão, 19
Marilandia
51955-163 Fernandes Grande / DF",92815998,DF
102,Letícia Castro,theofernandes@example.com,PF,26890713559,2021-04-24T15:14:00.000Z,1965-05-28,"Ladeira Maria Alice Moraes, 46
Dom Bosco
97969305 Araújo / PB",91064-936,PB
103,Alexandre Dias,frodrigues@example.net,PF,69021587467,2017-03-28T11:12:00.000Z,1953-11-25,"Conjunto de Fernandes, 8
Vila Suzana Primeira Seção
75834-907 Fogaça / DF",04963-039,DF
104,Yago Cunha,milena98@example.org,PF,67598310475,2019-01-19T15:42:00.000Z,1986-04-16,"Distrito Nathan Sales, 46
Vila União
32770-638 Pereira do Campo / MA",22342-253,MA
105,Isabelly da Cruz,cavalcantifernando@example.com,PF,42089671530,2016-05-13T12:08:00.000Z,1965-04-15,"Sítio Caldeira, 6
Vila Olhos D'água
97593-166 Fernandes / SP",20026-505,SP
106,Raul Silveira,tviana@example.org,PF,83925470638,2017-09-19T10:57:00.000Z,2000-08-01,"Morro de da Rocha
Santo Antônio
91635-112 Duarte da Serra / DF",63308-463,DF
107,Daniela Cavalcanti,luana54@example.net,PF,93045721699,2022-09-03T15:15:00.000Z,1994-05-21,"Condomínio Laís Gomes, 4
Buritis
91167-253 Duarte / BA",90778836,BA
108,Luiz Felipe da Rosa,melojoao-felipe@example.net,PF,79358260130,2020-02-27T11:22:00.000Z,1987-01-18,"Passarela de Monteiro, 74
Conjunto Lagoa
98713959 Almeida da Mata / PB",63495050,PB
109,Ana Clara Araújo,barroscalebe@example.com,PF,47580936100,2022-02-05T14:42:00.000Z,1961-05-01,"Área Cauã Monteiro, 1
Vila Paris
98039964 Cavalcanti / CE",28337946,CE
110,Juan Barros,ocardoso@example.org,PF,71380692431,2013-06-27T16:39:00.000Z,1970-11-18,"Sítio Nogueira, 37
Bairro Das Indústrias Ii
69779-658 Campos / MA",54386446,MA
111,Pedro Lopes,diogojesus@example.com,PF,36271940552,2021-08-11T14:40:00.000Z,1977-07-15,"Trecho Ribeiro, 31
Vila Cloris
84406630 Caldeira / PA",56604-799,PA
112,Antônio Carvalho,da-costalaura@example.net,PF,56247319061,2022-11-09T16:26:00.000Z,1961-01-25,"Aeroporto Araújo, 54
Vila Oeste
67920208 Moraes de Minas / MT",78346067,MT
113,Caroline da Cunha,lorenacorreia@example.net,PF,83627104544,2022-02-27T14:39:00.000Z,2001-11-06,"Alameda Bárbara Moraes
Granja De Freitas
20822-634 Barros / ES",95479448,ES
114,Rafael Moura,danielpires@example.net,PF,12873965428,2020-03-14T14:32:00.000Z,1984-04-13,"Aeroporto de Silveira, 7
Vila Ecológica
96711726 Oliveira / PI",56442197,PI
115,Fernanda Lopes,helenabarbosa@example.org,PF,86249013598,2020-04-21T12:14:00.000Z,1960-10-17,"Lago de Nogueira, 40
Vila Barragem Santa Lúcia
37400-668 da Cunha / RO",56346859,RO
116,Henrique Carvalho,leandro06@example.com,PF,38946501766,2014-03-08T10:27:00.000Z,1956-11-26,"Praia Dias, 2
Flamengo
66029-440 Jesus / PR",19517-539,PR
117,Isadora Barbosa,moraesmarcela@example.com,PF,49160538775,2014-10-12T15:55:00.000Z,1956-11-03,"Esplanada Henrique Almeida, 771
Vila Batik
21995-793 Peixoto de Barros / CE",48469-071,CE
118,Brenda Gonçalves,xvieira@example.com,PF,43682715991,2018-10-12T13:02:00.000Z,2001-04-24,"Travessa de da Rocha, 528
Vila Das Oliveiras
20898787 da Mata do Sul / TO",54600-036,TO
119,Sophia Carvalho,nascimentobrenda@example.net,PF,40239856198,2016-06-02T14:33:00.000Z,2005-05-01,"Favela Duarte, 18
Beira Linha
75210-900 Nunes / SP",07418-215,SP
120,Mirella Lopes,emillyda-rosa@example.net,PF,48316207508,2019-02-27T13:22:00.000Z,1970-06-30,"Rua Henrique Correia, 26
Esplanada
06809495 Aragão / AL",03511447,AL
121,Carlos Eduardo Cavalcanti,qdias@example.com,PF,91240768303,2017-03-21T14:26:00.000Z,1947-01-24,"Ladeira André Cunha, 45
Dom Joaquim
65812293 Gomes / RR",05379-937,RR
122,Clarice Cavalcanti,wda-paz@example.net,PF,90675821312,2018-01-25T14:35:00.000Z,1967-11-12,"Parque Yago Gomes, 23
Virgínia
32305-611 Moreira / BA",57654456,BA
123,Olivia da Cunha,qcunha@example.com,PF,85906124730,2014-08-05T15:46:00.000Z,1951-07-04,"Avenida de Castro, 48
Alta Tensão 1ª Seção
71313-393 Moura do Sul / MA",05905-261,MA
124,Nicole Pinto,marcelaramos@example.com,PF,50986342700,2016-05-09T14:04:00.000Z,2005-05-16,"Parque Castro, 82
Taquaril
96080-932 Rezende / CE",30808-776,CE
125,Luiz Otávio Ramos,laura98@example.net,PF,20736958410,2019-07-07T13:31:00.000Z,1945-08-04,"Feira Lara Aragão, 639
Santo Agostinho
24882691 Nogueira do Oeste / AP",62687-146,AP
126,Theo Moreira,wmoraes@example.com,PF,03721964543,2015-08-09T11:23:00.000Z,1999-07-08,"Praça de Farias, 25
Alta Tensão 1ª Seção
41341323 Martins da Mata / TO",38702791,TO
127,Alexandre Lima,mfogaca@example.net,PF,25416937882,2015-08-09T15:30:00.000Z,1966-04-24,"Estação Juliana Ramos, 74
Vila Da Luz
70575-057 Pires de Minas / AP",49657-157,AP
128,Lívia Oliveira,novaesevelyn@example.com,PF,50746312890,2018-10-04T12:51:00.000Z,2006-07-22,"Favela de Correia, 961
Barão Homem De Melo 2ª Seção
55072-890 Fernandes do Amparo / GO",42337334,GO
129,Ryan da Mota,heitor16@example.org,PF,93671824069,2022-07-14T11:28:00.000Z,2002-07-10,"Lagoa de da Rosa, 1
Maravilha
74476438 Souza do Campo / RS",65182-979,RS
130,Joana Nogueira,luiz-otavio82@example.net,PF,12980763403,2014-06-09T13:59:00.000Z,1979-11-25,"Rodovia de Ribeiro, 4
São Marcos
06698-831 Mendes / PA",37729-948,PA
131,Evelyn Ribeiro,eduardo05@example.com,PF,84073152904,2010-01-01T13:49:00.000Z,1984-12-10,"Campo de Duarte, 127
Capitão Eduardo
56531-679 Rezende / MA",58718419,MA
132,Valentina Moura,da-matavitoria@example.com,PF,25713906434,2021-03-04T14:12:00.000Z,1980-06-07,"Pátio Heloísa Lopes, 86
Custodinha
70307021 Silveira / DF",16380262,DF
133,Erick Peixoto,eduarda37@example.org,PF,38104659251,2020-01-27T12:29:00.000Z,1960-02-04,"Distrito de Lima, 49
Lajedo
27253-329 Ribeiro das Flores / AL",90410602,AL
134,Kevin Lima,da-motaaugusto@example.net,PF,67325091877,2019-07-01T13:36:00.000Z,1965-02-03,"Condomínio Ribeiro, 83
Santa Rita
43035840 Moreira do Oeste / ES",50910135,ES
135,Júlia Cavalcanti,ofogaca@example.org,PF,79814062502,2020-11-04T11:56:00.000Z,1996-01-03,"Jardim de Pinto
Horto
32133-440 da Conceição / PI",42113-983,PI
136,Leonardo Costela,fda-paz@example.net,PF,56203417807,2021-01-24T12:29:00.000Z,1988-11-02,"Setor de da Paz, 45
Vila Antena Montanhês
06970-853 da Cruz do Sul / MT",18964-982,MT
137,Levi Aragão,scorreia@example.net,PF,49805721620,2019-03-17T15:38:00.000Z,1944-07-20,"Distrito Cardoso, 5
Jonas Veiga
11399055 Araújo de Teixeira / TO",64903-555,TO
138,Joaquim Peixoto,agathabarros@example.org,PF,98362105470,2014-08-19T13:34:00.000Z,1996-10-10,"Área da Luz, 39
Vila De Sá
95468187 Fogaça / GO",59494345,GO
